iter	Logloss
0	0.6694513852
1	0.6512829447
2	0.6345726604
3	0.6130454887
4	0.6039246527
5	0.5958128082
6	0.5851729716
7	0.579823454
8	0.5699997383
9	0.5660275613
10	0.5569880223
11	0.5489829215
12	0.546537897
13	0.5435846605
14	0.5417246964
15	0.5377459984
16	0.535768089
17	0.5301442866
18	0.5280836011
19	0.5261504443
20	0.5213801656
21	0.5189797234
22	0.5178724015
23	0.5163752851
24	0.5143037159
25	0.5134570481
26	0.5110077786
27	0.5084098603
28	0.5064281748
29	0.503094804
30	0.5001289142
31	0.4987748767
32	0.4979089348
33	0.4972224823
34	0.4955005624
35	0.49407828
36	0.4932915051
37	0.4927884337
38	0.4914691643
39	0.4898884671
40	0.4893868517
41	0.4875178253
42	0.4863575962
43	0.4852811149
44	0.4844051988
45	0.4838073997
46	0.4824473303
47	0.4804093374
48	0.479653443
49	0.4782204577
50	0.477826734
51	0.4772690484
52	0.4768273274
53	0.4750959361
54	0.4747059391
55	0.4740891131
56	0.4729592738
57	0.4715340794
58	0.4711186274
59	0.4705660718
60	0.4702091538
61	0.4693889872
62	0.4687787548
63	0.4669639854
64	0.4660947633
65	0.4654411338
66	0.4648425649
67	0.4645055459
68	0.4641775541
69	0.4639260553
70	0.4633922351
71	0.4624697845
72	0.4621752132
73	0.4619598157
74	0.4608495843
75	0.4606238834
76	0.4599957633
77	0.4594232411
78	0.4591773131
79	0.4589428831
80	0.458711216
81	0.4578287167
82	0.4569931515
83	0.4567218794
84	0.4563443514
85	0.4559640307
86	0.4556970623
87	0.4553014895
88	0.4543396765
89	0.4538764582
90	0.4535425724
91	0.4531320228
92	0.4526673937
93	0.4524072348
94	0.4519479007
95	0.4512888339
96	0.451024467
97	0.4506680214
98	0.4502428606
99	0.449994137
100	0.449184183
101	0.4486593474
102	0.4484490407
103	0.4476488304
104	0.4475155162
105	0.4472349557
106	0.4468748496
107	0.4461058376
108	0.445592743
109	0.4451573433
110	0.4448391241
111	0.4443831483
112	0.4438722328
113	0.4432439928
114	0.4427338318
115	0.4422894927
116	0.4416278398
117	0.4413385155
118	0.4410227344
119	0.4408011941
120	0.4404489224
121	0.4401975653
122	0.4397453094
123	0.4395572886
124	0.4392358102
125	0.4388601125
126	0.4384937672
127	0.4381187251
128	0.4378342216
129	0.4373678293
130	0.436995413
131	0.4365511097
132	0.4361235221
133	0.4359223608
134	0.435435833
135	0.4351305446
136	0.4347798463
137	0.4341866277
138	0.434017916
139	0.4336482644
140	0.4333209167
141	0.4331661592
142	0.4329457634
143	0.4325621944
144	0.4322892058
145	0.4317136756
146	0.4313813279
147	0.4311764989
148	0.4310065134
149	0.4306012209
150	0.4302414495
151	0.4298332231
152	0.4295974713
153	0.4291064677
154	0.4289207775
155	0.4284748887
156	0.4281764377
157	0.4277891336
158	0.4274979857
159	0.4271483078
160	0.4268943659
161	0.4267409719
162	0.4263823303
163	0.4261332076
164	0.4259213857
165	0.4257174797
166	0.4253997037
167	0.4251627168
168	0.4248648663
169	0.4245193233
170	0.424384783
171	0.424204371
172	0.4240878765
173	0.4238116263
174	0.4236405488
175	0.4234828737
176	0.4231593468
177	0.4229648318
178	0.4228412588
179	0.4226613402
180	0.4224452725
181	0.4222932335
182	0.4221211685
183	0.4219786773
184	0.4217099914
185	0.4215764936
186	0.4213474293
187	0.4212174339
188	0.4210810538
189	0.4208414536
190	0.4204751375
191	0.4200887391
192	0.4197556424
193	0.4196071659
194	0.4193086866
195	0.4191308554
196	0.4189946723
197	0.4186233136
198	0.4183574524
199	0.4181028451
200	0.4179138684
201	0.4177822055
202	0.4174567346
203	0.4172007992
204	0.4170167097
205	0.4168301143
206	0.4166721723
207	0.4165212771
208	0.4163570996
209	0.4161794277
210	0.416043021
211	0.4156422416
212	0.4154476441
213	0.4151928377
214	0.4148885169
215	0.4146801389
216	0.4145022817
217	0.4142352674
218	0.4140326931
219	0.4139037764
220	0.4136095395
221	0.413452103
222	0.4133334339
223	0.4130848736
224	0.4129425305
225	0.4126464076
226	0.4123990447
