iter	Logloss	F1:use_weights=true	F1:use_weights=false
245	0.4098182508	0.7696964626	0.7696964626
246	0.4097442399	0.7698277435	0.7698277435
247	0.4096403957	0.7699176027	0.7699176027
248	0.4095576136	0.7700040071	0.7700040071
249	0.4095035434	0.7700319868	0.7700319868
250	0.4094248378	0.7701167647	0.7701167647
251	0.4093484017	0.7701045128	0.7701045128
252	0.4092789048	0.7701595364	0.7701595364
253	0.4092109031	0.7702323892	0.7702323892
254	0.4091292168	0.7702416555	0.7702416555
255	0.4090397583	0.7703276482	0.7703276482
256	0.4089719003	0.7703424683	0.7703424683
257	0.4088713709	0.7704242768	0.7704242768
258	0.408807691	0.7705142269	0.7705142269
259	0.4087314966	0.7704881982	0.7704881982
260	0.4086811698	0.7704876628	0.7704876628
261	0.4085879739	0.7705747581	0.7705747581
262	0.4085179562	0.7706438827	0.7706438827
263	0.4084048124	0.7708061217	0.7708061217
264	0.4083316034	0.7708381615	0.7708381615
265	0.4082417451	0.7708840014	0.7708840014
266	0.4081801831	0.7708660514	0.7708660514
267	0.4081106351	0.7710179643	0.7710179643
268	0.4080176701	0.7711075124	0.7711075124
269	0.4079235846	0.7711962298	0.7711962298
270	0.4078163409	0.7713628219	0.7713628219
271	0.4077441258	0.77148338	0.77148338
272	0.4076588036	0.7715255586	0.7715255586
273	0.4076027835	0.7715904479	0.7715904479
274	0.4075063435	0.7716109258	0.7716109258
275	0.4074265588	0.771680033	0.771680033
276	0.4073721008	0.7716912891	0.7716912891
277	0.4072920328	0.7717344686	0.7717344686
278	0.4072094794	0.7717708542	0.7717708542
279	0.4071516414	0.7718045089	0.7718045089
280	0.4070856959	0.7718778514	0.7718778514
281	0.4069962855	0.771943391	0.771943391
282	0.406918283	0.7720589815	0.7720589815
283	0.406853555	0.7720844683	0.7720844683
284	0.4067802927	0.7721756424	0.7721756424
285	0.406703338	0.7722986657	0.7722986657
286	0.4066283992	0.7723730689	0.7723730689
287	0.4065571439	0.7724845588	0.7724845588
288	0.4064919219	0.7724970764	0.7724970764
289	0.4064289576	0.7725656121	0.7725656121
290	0.4063612575	0.7726531947	0.7726531947
291	0.406303722	0.7726617583	0.7726617583
292	0.4061608119	0.7728033629	0.7728033629
293	0.4060966434	0.7728514013	0.7728514013
294	0.4060357799	0.7728695387	0.7728695387
295	0.4059449522	0.7729536586	0.7729536586
296	0.4058938956	0.7730351086	0.7730351086
297	0.4058463837	0.7730400649	0.7730400649
298	0.4057850972	0.7731069587	0.7731069587
299	0.405709233	0.7731830889	0.7731830889
300	0.4056369648	0.7732857605	0.7732857605
301	0.4055873412	0.7732893036	0.7732893036
302	0.4055337027	0.7734116304	0.7734116304
303	0.4054894357	0.773454901	0.773454901
304	0.4054157407	0.7735436631	0.7735436631
305	0.4053465196	0.7736006511	0.7736006511
306	0.4052633266	0.7737659161	0.7737659161
307	0.4051852785	0.773801273	0.773801273
308	0.4051150689	0.7738116244	0.7738116244
309	0.4050501545	0.7738291965	0.7738291965
310	0.4050067652	0.7738334457	0.7738334457
311	0.4048978675	0.7739512142	0.7739512142
312	0.4048077771	0.7739872627	0.7739872627
313	0.4047475332	0.7740874535	0.7740874535
