iter	Accuracy	Logloss
80	0.630934186	0.6327209986
81	0.6310148327	0.6326228651
82	0.6310179646	0.6325461529
83	0.6311330623	0.6324094848
84	0.6314611299	0.6322337668
85	0.6316051977	0.6320860553
86	0.6316513934	0.6320269347
87	0.6321133501	0.6316506802
88	0.6322613328	0.6315019439
89	0.6323881752	0.6313872961
90	0.6322989157	0.6312696983
91	0.6323662518	0.6311954723
92	0.6323897411	0.6311416484
93	0.6325572983	0.6310333686
94	0.6330975527	0.6306971914
95	0.6331515782	0.6306337193
96	0.6331343527	0.630543897
97	0.6332165653	0.630422905
98	0.6332932971	0.6303576963
99	0.6337223687	0.6300380221
100	0.6337654325	0.6299185756
101	0.6337850069	0.6298253146
102	0.6338460792	0.6297513826
103	0.634127951	0.6295571513
104	0.6343268273	0.6293776336
105	0.634373806	0.6293025049
106	0.634477159	0.629241216
107	0.6347378905	0.6290871795
108	0.6350831835	0.6288688681
109	0.6352115918	0.6287090959
110	0.6351606983	0.6285986281
111	0.6353180768	0.6284844227
112	0.6354527489	0.6283342478
113	0.6355357445	0.6282831455
114	0.6356649358	0.6281697235
115	0.6358207483	0.6281068756
116	0.6359460247	0.6280551394
117	0.6361104499	0.6278517201
118	0.6363727474	0.6276890401
119	0.6367493595	0.627497504
120	0.6367869424	0.6274714099
121	0.6368691551	0.6273901883
122	0.636838619	0.6273359911
123	0.6368801168	0.6272915635
124	0.6368628913	0.6272388416
125	0.6369294443	0.6271554155
126	0.6372003545	0.6270032612
127	0.6373076224	0.6268719043
128	0.6375589582	0.6267151267
129	0.6378032472	0.6265827826
130	0.6378658854	0.6265361914
131	0.637912081	0.6264187655
132	0.637981766	0.6263605311
133	0.6380475361	0.6263074528
134	0.6381837742	0.6261609999
135	0.63825894	0.6261165926
136	0.6385353311	0.6259241132
137	0.6386332033	0.6258315094
138	0.6387600456	0.6257177353
139	0.6388195519	0.6256759643
140	0.6389103773	0.625622553
141	0.6391249131	0.6254636687
142	0.6391679768	0.6254175862
143	0.6392431427	0.6253778776
144	0.6400026308	0.6252625201
145	0.6400809285	0.6251975539
146	0.6402226475	0.6251050479
147	0.6402829367	0.6250398136
148	0.6402657112	0.6249978494
149	0.6403808089	0.624966298
150	0.6404238727	0.6249134505
151	0.6405100002	0.624822748
152	0.6405092172	0.6247632643
153	0.6405789022	0.6246906982
154	0.6408372848	0.624494608
155	0.6410267653	0.6243955148
156	0.6413313435	0.6241718964
157	0.6415521432	0.6240123342
158	0.6416390537	0.6239658135
159	0.6415999048	0.6238736951
160	0.6416202622	0.6238251688
161	0.6416531473	0.6237609486
162	0.6418222704	0.6236405774
163	0.6420587296	0.6234769835
164	0.6421511209	0.6233701589
165	0.642183223	0.623333586
166	0.6421887038	0.6232755783
167	0.6422059293	0.6232563262
168	0.6422693505	0.6231582573
169	0.6422121932	0.6231259167
170	0.6421276316	0.6230352654
171	0.6421996655	0.6229955421
172	0.642184006	0.6229213135
173	0.6422677845	0.6228760154
174	0.6423022356	0.6228169913
175	0.6423390355	0.6227649566
176	0.6424369077	0.6226833365
177	0.642458831	0.6226491916
178	0.6425794096	0.6225277881
179	0.6425974181	0.6225039584
180	0.6426624052	0.6224115819
181	0.6426905924	0.6223869406
182	0.6427939454	0.6223348641
183	0.6429865578	0.6222747506
184	0.6430382344	0.6222127639
185	0.6434767017	0.6220933409
186	0.6433952721	0.6220096701
187	0.6435542165	0.6218619
188	0.6435683101	0.6218374562
189	0.6437812799	0.6217264372
190	0.6439911179	0.6215646006
191	0.6441704197	0.6214782362
192	0.6443097897	0.62140384
193	0.6443810407	0.6213022104
194	0.6443160535	0.6212497554
195	0.644368513	0.6211917111
196	0.6448813633	0.6210559223
197	0.6449040696	0.621033087
198	0.6450802395	0.6208854322
199	0.6450833714	0.6208072954
200	0.6451209544	0.6207797549
201	0.645166367	0.6206746593
202	0.6451522735	0.6206503779
203	0.6452806818	0.6205399019
204	0.6453566306	0.6204156482
205	0.6453715071	0.6203379407
206	0.6453965624	0.6202912043
207	0.6455226218	0.6201180141
208	0.6458240681	0.6200411631
209	0.6458835744	0.6199399476
210	0.6459963231	0.6198072719
211	0.6459477785	0.6197628197
212	0.6460080678	0.6197046047
213	0.6460973272	0.6196814533
214	0.646210076	0.6196328779
215	0.6462327823	0.6195250923
216	0.6462766291	0.6194960158
217	0.6464551479	0.6193372512
218	0.6464778543	0.619231998
219	0.6465287478	0.6192100864
220	0.6465992158	0.6191675082
221	0.646661071	0.6190215289
222	0.6467229262	0.6189421623
223	0.6467378028	0.6188618283
224	0.6468207984	0.618788683
225	0.6468967472	0.6186685999
226	0.6468889174	0.6186218044
227	0.6469593854	0.6185758409
228	0.646903011	0.6184973948
229	0.6471198958	0.6183060044
230	0.647145734	0.6182184496
231	0.6472655296	0.6180938745
232	0.6473070274	0.6180270333
233	0.6475434866	0.6179428871
234	0.6475904652	0.6178824008
235	0.6477854266	0.61765542
236	0.6477932564	0.6176083491
237	0.6478010861	0.617536751
238	0.6478128308	0.6174770261
239	0.6478832988	0.6174145608
240	0.6478723371	0.6173651256
241	0.6480093581	0.6172570466
242	0.6480453751	0.617216309
243	0.6481432473	0.6170226271
244	0.6483374257	0.616804924
245	0.6483742256	0.6167235661
246	0.6484783616	0.6165871659
247	0.6484963701	0.6164800885
248	0.6486513997	0.6163031493
249	0.6486600124	0.6162272007
250	0.6488440121	0.6161479381
251	0.6489786842	0.6160286709
252	0.6491869562	0.6159409744
253	0.649227671	0.6158709408
254	0.6492355008	0.615835298
255	0.6492903092	0.6157843157
256	0.6493247603	0.6156744427
257	0.6495173727	0.6154926649
258	0.6495596535	0.6153730186
259	0.6495557386	0.6153100376
260	0.6497397383	0.6152632403
261	0.6499166912	0.615144462
262	0.6500865973	0.6149889228
263	0.6500803335	0.6149358634
264	0.6500920781	0.6148723035
265	0.6501367079	0.6148316601
266	0.6502056099	0.6147583026
267	0.6503199246	0.6146891658
268	0.6503653373	0.6146401035
269	0.6503911755	0.6146019316
270	0.6504232776	0.6145173099
271	0.6505696944	0.6144709753
272	0.6505407242	0.6144469469
273	0.650583005	0.6143874945
274	0.6506143241	0.6143566621
275	0.6507028006	0.6142915544
276	0.6507168941	0.6142434887
277	0.6507176771	0.614164098
278	0.6507497792	0.614130454
279	0.650862528	0.614008348
280	0.6510277362	0.6138569372
281	0.6510418298	0.6138183958
282	0.6511115148	0.6137167534
283	0.6512289614	0.6136293354
