iter	Passed	Remaining
399	37765	56647
400	37871	56571
401	37957	56463
402	38048	56365
403	38150	56281
404	38271	56225
405	38363	56128
406	38465	56044
407	38570	55964
408	38657	55859
409	38747	55758
410	38845	55669
411	38936	55569
412	39039	55486
413	39125	55380
414	39212	55276
415	39304	55176
416	39392	55074
417	39478	54967
418	39564	54861
419	39648	54752
420	39737	54650
421	39821	54541
422	39924	54459
423	40013	54358
424	40103	54258
425	40207	54176
426	40297	54075
427	40398	53990
428	40486	53886
429	40574	53784
430	40657	53675
431	40771	53607
432	40882	53534
433	40999	53469
434	41131	53423
435	41257	53369
436	41373	53302
437	41493	53240
438	41609	53173
439	41719	53096
440	41816	53005
441	41905	52903
442	41989	52794
443	42087	52704
444	42180	52607
445	42265	52500
446	42351	52394
447	42452	52307
448	42543	52208
449	42627	52100
450	42722	52005
451	42827	51924
452	42935	51844
453	43051	51775
454	43158	51695
455	43258	51606
456	43357	51516
457	43439	51406
458	43547	51326
459	43645	51235
460	43733	51132
461	43819	51027
462	43904	50921
463	43987	50813
464	44069	50703
465	44151	50594
466	44232	50484
467	44313	50373
468	44400	50269
469	44482	50160
470	44576	50065
471	44671	49971
472	44775	49887
473	44879	49803
474	44982	49717
475	45102	49650
476	45217	49578
477	45342	49516
478	45457	49442
479	45570	49368
480	45692	49302
481	45791	49211
482	45898	49129
483	46002	49043
484	46116	48968
485	46226	48889
486	46318	48791
487	46404	48686
488	46489	48581
489	46572	48472
490	46653	48364
491	46734	48253
492	46839	48169
493	46933	48073
494	47018	47968
495	47138	47898
496	47242	47812
497	47338	47718
498	47429	47619
499	47509	47509
500	47601	47411
501	47684	47304
502	47770	47200
503	47860	47100
504	47943	46993
505	48033	46894
506	48116	46787
507	48207	46689
508	48287	46580
509	48377	46479
510	48458	46372
511	48547	46271
512	48642	46177
513	48755	46099
514	48864	46018
515	48983	45945
516	49092	45864
517	49315	45888
518	49439	45819
519	49550	45738
520	49662	45659
521	49769	45574
522	49880	45493
523	49973	45395
524	50058	45290
525	50142	45185
526	50231	45084
527	50328	44990
528	50419	44891
529	50512	44794
530	50595	44687
531	50675	44579
532	50761	44475
533	50847	44372
534	50931	44267
535	51017	44163
536	51113	44069
537	51199	43966
538	51303	43879
539	51388	43775
540	51472	43671
541	51555	43565
542	51644	43465
543	51732	43363
544	51818	43260
545	51910	43163
546	51999	43063
547	52085	42960
548	52169	42856
549	52252	42752
550	52350	42659
551	52434	42555
552	52517	42450
553	52605	42349
554	52699	42254
555	52795	42160
556	52901	42074
557	53021	41999
558	53140	41923
559	53257	41844
560	53382	41773
561	53503	41698
562	53615	41616
563	53723	41531
564	53823	41439
565	53906	41334
566	53995	41234
567	54081	41132
568	54174	41035
569	54271	40941
570	54375	40852
571	54465	40753
572	54559	40657
573	54644	40554
574	54731	40454
575	54834	40364
576	54940	40276
577	55043	40187
578	55151	40101
579	55250	40008
580	55359	39923
581	55463	39834
582	55569	39747
583	55662	39649
584	55756	39553
585	55844	39453
586	55944	39361
587	56043	39268
588	56136	39171
589	56226	39072
590	56308	38968
591	56396	38867
592	56499	38777
593	56607	38691
594	56713	38603
595	56827	38520
596	56944	38439
597	57055	38355
598	57165	38269
599	57280	38186
600	57398	38106
601	57521	38029
602	57639	37948
603	57750	37863
604	57845	37766
605	57940	37670
606	58021	37565
607	58113	37467
608	58197	37365
609	58288	37266
610	58377	37166
611	58508	37093
612	58606	36999
613	58718	36914
614	58831	36829
615	58932	36736
616	59039	36648
617	59135	36553
618	59243	36465
619	59341	36370
620	59465	36292
621	59563	36197
622	59655	36099
623	59741	35998
624	59827	35896
625	59910	35792
626	59993	35689
627	60095	35598
628	60199	35507
629	60291	35409
630	60375	35306
631	60471	35210
632	60559	35111
633	60650	35012
634	60763	34926
635	60876	34841
636	60994	34758
637	61102	34669
638	61212	34581
639	61319	34492
640	61430	34405
641	61552	34323
642	61664	34236
643	61761	34141
644	61848	34040
645	61935	33940
646	62032	33844
647	62125	33747
648	62214	33647
649	62321	33557
650	62424	33465
651	62519	33369
652	62607	33269
653	62702	33172
654	62799	33077
655	62883	32975
656	62971	32875
657	63056	32773
658	63144	32674
659	63230	32573
660	63329	32479
661	63430	32386
662	63513	32283
663	63597	32181
664	63683	32081
665	63786	31989
666	63884	31894
667	63982	31799
668	64084	31706
