iter	F1	Logloss
0	0.7063115432	0.6531004027
1	0.7028029541	0.6262077606
2	0.7049158908	0.6088031816
3	0.7094901034	0.5939640299
4	0.709584049	0.5855346955
5	0.7114936214	0.580390783
6	0.7144687235	0.5753652294
7	0.7153653285	0.5718024374
8	0.7176587946	0.5684619965
9	0.7173773799	0.5659684428
10	0.7191227091	0.5635805997
11	0.7205849099	0.5616094582
12	0.7213034848	0.5596968007
13	0.7220737762	0.5585933476
14	0.7221226872	0.5575250748
15	0.7237366071	0.5560888596
16	0.7254833503	0.5544240029
17	0.7260791921	0.5533507682
18	0.7268921038	0.5522511642
19	0.7275382582	0.55125929
20	0.7283071442	0.5498593486
21	0.7290565292	0.5488383727
22	0.7301486827	0.5473097597
23	0.7318598317	0.5459823234
24	0.7322125262	0.5451886408
25	0.7324070156	0.5446622016
26	0.7330103435	0.5438957316
27	0.7333436957	0.543330982
28	0.7338406269	0.5421328138
29	0.7344103891	0.5413647377
30	0.7345821118	0.5407499407
31	0.7349287216	0.5400119782
32	0.7358135951	0.5386093697
33	0.7364999046	0.5379101777
34	0.7369993086	0.5370388989
35	0.7374806353	0.5364835483
36	0.7384330885	0.5355537187
37	0.7384472555	0.5352317896
38	0.7389729178	0.5346027688
39	0.7392738652	0.5339630358
40	0.7396633641	0.5329073703
41	0.7397485693	0.532369148
42	0.7401319281	0.5318410966
43	0.7405582284	0.5312763084
44	0.7411076092	0.5306475121
45	0.7411905048	0.5304132895
46	0.7416823444	0.5296289282
47	0.7424038127	0.528815704
48	0.7425455833	0.5284450183
49	0.743016127	0.5276083268
50	0.7433044649	0.5270791503
51	0.7437165166	0.526396224
52	0.744083757	0.5260255617
53	0.7442560227	0.525590449
54	0.7445292026	0.5253520442
55	0.7446861042	0.5249773635
56	0.7449532052	0.5245619383
57	0.7462231547	0.5235456789
58	0.7462793384	0.5233018596
59	0.7465265271	0.5230716334
60	0.7467741631	0.5227152514
61	0.7472922057	0.5222830571
62	0.7475180103	0.5216060405
63	0.7481132622	0.5210596547
64	0.7482319527	0.5208520625
65	0.7490816692	0.5202231765
66	0.7491718579	0.5198530791
67	0.7494263624	0.5193887771
68	0.7496895797	0.5189677784
69	0.7500236355	0.5184005104
70	0.7505087765	0.5180084734
71	0.7505475969	0.5175777268
72	0.7508237198	0.5173100633
73	0.7510795448	0.5166070056
74	0.7512405232	0.5163016379
75	0.751422006	0.5159963869
76	0.7514158107	0.5156293555
77	0.7518961297	0.5151527192
78	0.7520614254	0.5147931512
79	0.7522030455	0.5144548637
80	0.7524601947	0.5139871129
81	0.7526839262	0.5134452154
82	0.7530705476	0.5131003581
83	0.7533360597	0.5125806024
84	0.7533464646	0.5121792472
85	0.7536804542	0.5118347912
86	0.7538105919	0.5116042053
87	0.753888772	0.5112408019
88	0.754167292	0.5107546884
89	0.7543635519	0.5104569386
90	0.7544792277	0.5101722637
91	0.7545555454	0.5099678176
92	0.7546655885	0.5096895969
93	0.7547973254	0.5093152848
94	0.755115886	0.509030932
95	0.7552864449	0.5087793124
96	0.7554555978	0.5084033123
97	0.7556100998	0.5081496712
98	0.7557520281	0.5075611061
99	0.7558989731	0.5073770668
100	0.7560554636	0.5071392003
101	0.7562277454	0.5069225756
102	0.7562842642	0.5064920261
103	0.7563483741	0.5062187896
104	0.7563373963	0.5060817589
105	0.7564163892	0.5057992339
106	0.7564690121	0.5055486538
107	0.7565490529	0.5053348414
108	0.7566329529	0.5051421344
109	0.7568293743	0.5047952837
110	0.7570374231	0.5045716673
111	0.7571910761	0.5043258682
112	0.7572489094	0.5041214416
113	0.7572907804	0.5039507157
114	0.7573796179	0.5035836403
115	0.7574301616	0.503350408
116	0.757638614	0.5031009636
117	0.7576916192	0.50290304
118	0.7578858277	0.5027394188
119	0.7580215156	0.5026157896
120	0.758058455	0.5023890754
121	0.7582851549	0.5020161074
122	0.7583816015	0.5018085515
123	0.7584398527	0.5016187062
124	0.7585879876	0.5014226434
125	0.7586679405	0.5011847485
126	0.7587077563	0.5009626487
127	0.7587921527	0.5007148172
128	0.7589556468	0.5004644947
129	0.7590724647	0.5001945672
130	0.7592144087	0.5000259075
131	0.7593869968	0.4998702855
132	0.759479773	0.4997129144
133	0.7595495171	0.4994681979
134	0.7596758246	0.499307089
135	0.759625521	0.4991865825
136	0.7595758561	0.4989495878
137	0.7597210196	0.4988024777
138	0.759857039	0.4986256798
139	0.7600205458	0.498438355
140	0.7600752679	0.4982451338
141	0.7603072236	0.4980912679
142	0.7603626098	0.4979077838
143	0.7604963882	0.4977596603
144	0.7606464154	0.497607354
145	0.7606959742	0.4974203921
146	0.760712077	0.4971757745
147	0.7607674185	0.4969034691
148	0.760866856	0.4967658836
149	0.7610348486	0.4966123856
150	0.7611592228	0.4964183584
151	0.7611411183	0.4963092421
152	0.7612498309	0.4961673055
153	0.7612970006	0.4959997175
154	0.7614040378	0.495848628
155	0.7615673321	0.4956670339
156	0.761630323	0.4955292843
157	0.7618022082	0.4953232585
158	0.7616754775	0.4951337111
159	0.7617591939	0.4949026409
160	0.7618664187	0.494747679
161	0.762063552	0.4946137884
162	0.7621851015	0.4944337807
163	0.7621863538	0.4943003701
164	0.7622905844	0.4941010385
165	0.7623500567	0.4939716332
166	0.7623530306	0.4938081075
167	0.7624512334	0.4936616609
168	0.7625050196	0.4935688008
169	0.7626124253	0.493345165
170	0.7626556224	0.4932367714
171	0.762671464	0.4930627273
172	0.7626843072	0.4929163135
173	0.7627859987	0.492767249
174	0.7629188255	0.4925934818
175	0.7629948134	0.4924845773
176	0.7630413901	0.4923743505
177	0.7631399999	0.4922328888
178	0.7631898982	0.492110377
179	0.7632603181	0.4919491201
180	0.7633655491	0.4917849006
181	0.7635384405	0.4915891773
182	0.7635766605	0.4914418098
183	0.7637688016	0.4912642298
184	0.7638715383	0.4911274052
185	0.7638436831	0.4910140997
186	0.763891861	0.4909263145
187	0.7639190248	0.4907822723
188	0.7640296887	0.4906412548
189	0.7641371931	0.4904845805
190	0.7641561258	0.4903760496
191	0.7641382657	0.4902327077
192	0.7643577355	0.4900644226
193	0.7644481759	0.489977297
194	0.7644480072	0.4898411332
195	0.7645121841	0.4897022712
196	0.764750389	0.4895652502
197	0.764828414	0.4894122106
198	0.7649726602	0.4892779266
199	0.7651137337	0.4890916072
200	0.7651264308	0.4890116688
201	0.7651826053	0.488868276
202	0.7652676343	0.488736028
203	0.7652724624	0.488607553
204	0.7654338908	0.4884758277
205	0.7655039175	0.4883249871
206	0.7655047129	0.4882026621
207	0.7656787036	0.4880941986
208	0.7656434418	0.4880004688
209	0.7657338954	0.4878702701
210	0.7658422923	0.4877159862
211	0.765983728	0.4875928278
212	0.7659914249	0.4874371924
213	0.766037161	0.4873266497
214	0.7661251928	0.4872257887
215	0.7662081345	0.4870991876
216	0.7661992286	0.4869806598
217	0.7662397954	0.4867681107
218	0.7662697874	0.4866779965
219	0.7664419768	0.4864819005
220	0.7664251216	0.4863538689
221	0.7666039306	0.4861965687
222	0.7666978957	0.4860571003
223	0.7667188495	0.4859467222
224	0.7668929133	0.4857877785
225	0.7668945222	0.4856965253
226	0.7669739233	0.4855665974
227	0.7670539041	0.4854255224
228	0.7671907405	0.4852379225
229	0.767311067	0.4851266575
230	0.7674347999	0.4850121625
231	0.7674526033	0.4849158702
232	0.7674936902	0.4848025796
233	0.7675833223	0.4847250563
234	0.7676208189	0.4846114456
235	0.7677556852	0.4844708999
236	0.7678160263	0.4843385979
237	0.7679450672	0.4841606688
238	0.7679857507	0.4840449371
239	0.7680689397	0.4839298006
240	0.768137357	0.4837935589
241	0.7682272165	0.4836450226
242	0.7682856412	0.4835602412
243	0.7684221304	0.483448459
244	0.7684511335	0.4833402834
245	0.7685228848	0.4832475545
246	0.7685122113	0.4831277236
247	0.7686091061	0.4829789466
248	0.7686275911	0.4828790212
249	0.7686957516	0.482773152
250	0.7687951946	0.4826538121
251	0.768829096	0.4825379411
252	0.7689570285	0.4824298994
253	0.7690173284	0.482324946
254	0.7690481011	0.4822144905
255	0.7691226666	0.4820961822
256	0.769131266	0.4819907074
257	0.7691578377	0.4819188117
258	0.7692611847	0.4817931061
259	0.7693216646	0.4816856874
260	0.7694131072	0.4815503803
261	0.7695305939	0.4814470521
262	0.7696042347	0.4813691633
263	0.7697310664	0.4812048814
264	0.7697457689	0.4811050434
265	0.769767827	0.4810000281
266	0.769789264	0.4809185674
267	0.7698226325	0.4808358245
268	0.7698412036	0.4807223665
269	0.7699670919	0.4805856708
270	0.7700138692	0.4805011843
271	0.7701543187	0.4804248973
272	0.7701944617	0.4803500861
273	0.7702284191	0.4802806689
274	0.7702655517	0.4801748067
275	0.7703388053	0.4800499127
276	0.7704590057	0.4799260122
277	0.7705068641	0.4798253148
278	0.7705368123	0.4797408121
279	0.7705606658	0.4796064378
280	0.770681342	0.479460101
281	0.7707681894	0.47936654
282	0.7707833781	0.4792405742
283	0.7708107631	0.4791753099
284	0.770928255	0.4790610437
285	0.7710358619	0.4789240504
286	0.7710889319	0.4788238969
287	0.7711012225	0.4787597953
288	0.7711287916	0.4786481875
289	0.7712323265	0.4785132153
290	0.7713077815	0.4783689364
291	0.7713808634	0.4782440827
292	0.7714079343	0.478140708
293	0.7715164728	0.478031091
294	0.7715061582	0.4779376067
295	0.7715787478	0.4778378973
296	0.7716663468	0.4777281731
297	0.7717306298	0.4776510048
298	0.7718100643	0.4775565818
299	0.7718652801	0.4774588219
300	0.7720090455	0.4773511124
301	0.7719872969	0.4772401426
302	0.7721910983	0.4771359029
303	0.7721813967	0.4770310875
304	0.7722615068	0.476897357
305	0.772350426	0.4767946883
306	0.7723461123	0.4766918104
307	0.7724467948	0.4765921502
308	0.7724587662	0.4764894075
309	0.7725566599	0.4763746491
310	0.7727020701	0.47627188
311	0.7727449423	0.4761655556
312	0.7728933842	0.4760723098
313	0.7729564098	0.4759743342
314	0.7730237194	0.4758655638
315	0.7730262648	0.4757610452
316	0.7730593869	0.4757022068
317	0.7732494921	0.4755833609
318	0.7732928289	0.4755229139
319	0.7734014699	0.4754168778
